avg_rating,number_ratings,enrollment,last_updated,lectures,duration,price2,discount,inst_rating,inst_review,inst_student,inst_course,cat_design,cat_development,cat_hobby,cat_it_software
4.6,6833.0,21218.0,20.83,53.0,5.23,23.99,91.0,4.6,19993.0,55621.0,3.0,0,1,0,0
4.5,2826.0,14269.0,20.83,41.0,7.13,19.99,88.0,4.5,11922.0,53659.0,10.0,0,0,0,0
4.4,991.0,3563.0,20.67,91.0,5.23,28.99,77.0,4.4,2193.0,7422.0,6.0,0,0,0,0
4.2,681.0,1932.0,20.83,57.0,5.05,16.99,64.0,4.3,25989.0,242683.0,43.0,0,0,0,1
4.3,1939.0,14048.0,13.33,142.0,10.77,20.99,55.0,4.5,25581.0,113480.0,12.0,0,0,0,0
4.5,1281.0,9244.0,20.83,75.0,6.1,16.99,89.0,4.4,14384.0,63776.0,9.0,0,0,0,1
4.3,261.0,937.0,20.0,73.0,7.98,17.99,87.0,4.3,698.0,2114.0,4.0,0,0,0,0
4.7,1659.0,7400.0,18.33,151.0,3.38,199.99,69.0,4.7,4274.0,16488.0,6.0,0,0,1,0
4.5,197.0,1444.0,19.92,257.0,25.08,20.99,40.0,3.9,4868.0,61599.0,45.0,0,0,0,1
4.5,1588.0,9192.0,15.92,24.0,2.73,19.99,90.0,4.5,21876.0,104566.0,28.0,0,0,0,0
4.6,3267.0,15260.0,20.83,49.0,8.77,16.99,87.0,4.6,20290.0,104746.0,18.0,0,0,0,0
4.7,481.0,7214.0,16.25,40.0,5.65,20.99,89.0,4.5,3182.0,18455.0,6.0,0,0,1,0
4.4,3813.0,14570.0,15.25,44.0,4.2,28.99,58.0,4.4,3813.0,14692.0,1.0,0,0,0,0
4.2,271.0,1664.0,20.83,107.0,9.88,17.99,76.0,4.3,959.0,18678.0,6.0,0,0,1,0
4.5,1557.0,11830.0,20.42,120.0,9.0,20.99,83.0,4.5,30146.0,105935.0,16.0,0,0,0,0
4.5,2288.0,11967.0,18.17,38.0,4.67,17.99,90.0,4.5,3479.0,14412.0,5.0,0,0,1,0
4.5,655.0,2607.0,20.83,21.0,2.5,16.99,81.0,4.4,924.0,3348.0,4.0,0,0,0,0
4.6,2456.0,14398.0,20.67,23.0,6.32,17.99,49.0,4.4,80108.0,271227.0,82.0,0,0,0,0
4.1,373.0,2812.0,20.75,107.0,9.28,19.99,88.0,4.1,373.0,2812.0,1.0,0,0,0,0
4.3,521.0,1532.0,20.83,103.0,9.13,21.99,85.0,4.3,2935.0,37791.0,42.0,0,0,0,0
4.3,1989.0,12715.0,16.92,64.0,3.93,16.99,90.0,4.2,4127.0,38588.0,22.0,0,0,0,0
4.3,2174.0,8626.0,20.67,205.0,14.42,20.99,89.0,4.3,2516.0,11197.0,2.0,0,0,0,0
4.1,362.0,2243.0,20.67,24.0,1.17,19.99,88.0,4.2,7513.0,66526.0,184.0,0,0,0,1
3.9,460.0,3830.0,20.17,206.0,16.03,16.99,88.0,4.2,4873.0,75839.0,8.0,0,0,0,0
4.7,818.0,4608.0,20.08,72.0,18.42,16.99,67.0,4.4,1807.0,14233.0,5.0,0,1,0,0
4.5,1777.0,10598.0,20.83,96.0,12.15,23.99,87.0,4.4,9720.0,40355.0,5.0,0,1,0,0
4.3,4930.0,19402.0,20.75,36.0,8.48,19.99,79.0,4.3,5502.0,29703.0,3.0,0,0,0,0
4.6,503.0,5583.0,19.42,40.0,6.35,17.99,89.0,4.4,1204.0,7809.0,4.0,1,0,0,0
4.3,2402.0,12566.0,20.83,291.0,31.12,16.99,73.0,4.3,2402.0,12718.0,1.0,0,0,0,1
4.4,789.0,3951.0,20.5,130.0,16.17,16.99,89.0,4.5,46162.0,130166.0,33.0,0,0,0,1
4.2,967.0,7659.0,18.75,162.0,20.18,23.99,43.0,4.4,11708.0,47220.0,22.0,0,0,1,0
4.5,839.0,3237.0,20.17,39.0,4.42,16.99,89.0,4.4,17599.0,100305.0,18.0,0,0,0,1
4.2,1686.0,11926.0,19.92,147.0,18.2,20.99,83.0,4.3,2588.0,33321.0,10.0,0,1,0,0
4.3,1483.0,8765.0,20.33,101.0,8.32,19.99,89.0,4.2,6030.0,43552.0,15.0,0,0,0,1
4.8,207.0,560.0,19.42,44.0,4.33,16.99,89.0,4.8,207.0,560.0,1.0,0,0,1,0
4.6,4489.0,25779.0,20.58,54.0,6.27,16.99,91.0,4.6,100829.0,404488.0,28.0,0,1,0,0
4.6,536.0,5992.0,20.58,179.0,20.95,17.99,86.0,4.7,13999.0,64522.0,18.0,0,1,0,0
4.5,418.0,2039.0,20.83,196.0,24.68,21.99,77.0,4.5,418.0,2039.0,1.0,0,1,0,0
4.3,1313.0,5003.0,20.42,78.0,6.12,23.99,88.0,4.3,2259.0,6612.0,7.0,0,0,0,0
4.7,957.0,5388.0,20.83,189.0,26.78,34.99,77.0,4.5,2777.0,39883.0,10.0,1,0,0,0
4.3,9748.0,33324.0,17.75,53.0,11.48,36.99,32.0,4.3,10051.0,34840.0,3.0,0,0,0,1
4.5,2931.0,20000.0,18.92,10.0,1.7,19.99,81.0,4.5,5456.0,30968.0,6.0,0,0,0,0
4.5,1065.0,6349.0,18.0,307.0,22.25,21.99,92.0,4.4,17393.0,50598.0,9.0,1,0,0,0
3.9,514.0,2949.0,20.83,84.0,3.85,19.99,85.0,4.0,1028.0,4763.0,3.0,0,0,0,0
4.7,8176.0,44937.0,17.08,10.0,1.67,19.99,73.0,4.7,17768.0,63338.0,11.0,0,0,1,0
4.5,635.0,3589.0,20.83,331.0,14.23,21.99,85.0,4.3,820.0,6153.0,3.0,0,0,0,0
4.3,268.0,965.0,19.83,91.0,7.3,23.99,89.0,4.3,268.0,965.0,1.0,0,0,0,0
4.2,541.0,2994.0,20.58,242.0,23.68,21.99,83.0,4.6,7165.0,86438.0,7.0,0,0,0,1
4.6,2371.0,13167.0,20.5,86.0,12.45,27.99,88.0,4.5,2943.0,15423.0,3.0,0,0,0,1
4.5,1219.0,10585.0,20.83,70.0,11.1,16.99,85.0,4.4,28778.0,167835.0,17.0,0,1,0,0
4.2,602.0,3041.0,19.25,125.0,6.18,149.99,91.0,4.2,3416.0,18393.0,5.0,0,0,0,1
4.3,611.0,3282.0,20.33,312.0,24.33,23.99,92.0,4.2,5887.0,39996.0,10.0,0,1,0,0
4.7,2397.0,13070.0,20.5,115.0,4.3,21.99,91.0,4.6,4010.0,20308.0,3.0,1,0,0,0
4.3,934.0,10057.0,20.58,104.0,9.32,23.99,92.0,4.6,100190.0,314001.0,31.0,0,0,0,1
4.1,151.0,505.0,20.58,149.0,13.73,16.99,89.0,4.3,1012.0,12472.0,18.0,0,0,0,1
4.1,545.0,3570.0,20.75,124.0,10.78,16.99,88.0,4.4,7731.0,32830.0,20.0,0,1,0,0
4.7,2134.0,31028.0,18.42,32.0,2.1,16.99,86.0,4.5,43931.0,179413.0,106.0,0,0,1,0
4.1,316.0,2228.0,20.67,119.0,9.5,20.99,90.0,4.3,938.0,10973.0,4.0,0,0,0,0
4.4,1513.0,34713.0,19.92,36.0,3.13,16.99,67.0,4.4,2062.0,43990.0,7.0,0,0,0,0
4.5,4827.0,19481.0,19.92,251.0,23.42,19.99,88.0,4.5,6312.0,31041.0,5.0,1,0,0,0
4.5,6093.0,38211.0,20.75,344.0,33.52,19.99,88.0,4.6,31457.0,126576.0,11.0,0,1,0,0
4.7,206.0,1276.0,20.5,65.0,65.13,21.99,88.0,4.6,1169.0,2203.0,13.0,0,0,0,0
4.5,5466.0,21700.0,20.83,39.0,7.63,16.99,89.0,4.5,19007.0,52026.0,19.0,0,0,0,1
4.6,2301.0,15303.0,18.25,92.0,11.23,16.99,88.0,4.5,30146.0,105909.0,16.0,0,0,0,0
4.9,478.0,11045.0,20.75,324.0,20.48,16.99,74.0,4.8,6971.0,26296.0,4.0,0,1,0,0
4.4,283.0,4343.0,13.25,257.0,16.43,19.99,64.0,4.5,4842.0,33727.0,8.0,0,0,1,0
4.7,931.0,5249.0,20.17,60.0,3.52,16.99,51.0,4.6,4020.0,24079.0,3.0,0,0,1,0
4.1,407.0,2329.0,20.83,139.0,6.58,17.99,90.0,4.1,8696.0,59150.0,44.0,0,1,0,0
3.9,389.0,2681.0,20.75,48.0,6.25,16.99,85.0,4.4,7731.0,32830.0,20.0,0,1,0,0
4.5,2400.0,11729.0,20.33,96.0,14.15,16.99,88.0,4.4,50228.0,324393.0,26.0,0,1,0,0
4.6,3497.0,25682.0,20.83,50.0,3.67,16.99,49.0,4.7,51619.0,187187.0,4.0,0,0,0,0
3.8,215.0,2348.0,19.58,74.0,7.52,19.99,89.0,4.1,8696.0,59170.0,44.0,0,0,0,1
4.3,1290.0,6215.0,20.58,170.0,18.12,20.99,75.0,4.4,1955.0,19000.0,6.0,0,1,0,0
4.5,2023.0,10150.0,20.83,83.0,6.55,20.99,83.0,4.6,7226.0,31843.0,18.0,1,0,0,0
4.3,1288.0,4858.0,20.67,220.0,21.88,20.99,76.0,4.5,2250.0,8089.0,7.0,0,0,0,1
4.6,156.0,1565.0,17.92,40.0,9.22,64.99,88.0,4.3,25989.0,242683.0,43.0,0,0,0,1
4.5,1944.0,16516.0,19.92,54.0,5.3,21.99,83.0,4.6,31457.0,126576.0,11.0,0,1,0,0
4.1,2040.0,16074.0,20.83,157.0,23.47,16.99,90.0,4.2,9250.0,159228.0,19.0,0,0,0,1
4.3,1935.0,27475.0,20.83,44.0,3.52,20.99,81.0,4.3,1935.0,27475.0,1.0,0,0,0,0
4.4,277.0,2052.0,20.42,34.0,2.67,19.99,92.0,4.1,561.0,10264.0,3.0,0,0,0,0
4.4,1215.0,6183.0,20.75,76.0,9.3,16.99,84.0,4.4,1215.0,6183.0,1.0,0,1,0,0
4.5,3845.0,14271.0,20.42,49.0,3.78,16.99,88.0,4.5,6229.0,22774.0,7.0,1,0,0,0
4.5,448.0,2637.0,19.67,176.0,20.0,16.99,84.0,4.5,521.0,4044.0,8.0,0,0,0,0
4.2,329.0,1614.0,20.17,82.0,4.38,16.99,74.0,4.2,1337.0,16061.0,7.0,0,0,0,1
4.5,1923.0,11810.0,20.83,78.0,6.83,16.99,89.0,4.4,2944.0,21190.0,11.0,0,1,0,0
4.6,1351.0,4638.0,18.58,226.0,27.85,21.99,88.0,4.6,1924.0,6391.0,3.0,0,1,0,0
4.6,1804.0,7706.0,20.58,173.0,7.48,19.99,87.0,4.6,3748.0,27338.0,4.0,0,0,0,1
4.1,538.0,5010.0,17.5,38.0,2.87,16.99,92.0,4.3,20011.0,121394.0,51.0,0,0,0,0
4.3,839.0,3542.0,19.08,117.0,13.82,16.99,73.0,4.2,7513.0,66508.0,184.0,0,0,0,1
4.3,866.0,4556.0,19.92,35.0,4.35,23.99,89.0,4.3,1233.0,5570.0,3.0,1,0,0,0
4.3,688.0,3742.0,19.33,312.0,38.8,20.99,91.0,4.3,1813.0,7953.0,4.0,0,1,0,0
4.1,349.0,2428.0,20.58,71.0,6.08,21.99,89.0,4.1,1507.0,3876.0,5.0,0,0,0,0
4.2,881.0,3866.0,20.5,30.0,1.93,16.99,84.0,4.2,1238.0,4927.0,9.0,0,0,0,1
4.7,1843.0,14828.0,20.42,118.0,11.82,19.99,51.0,4.7,94805.0,313051.0,28.0,1,0,0,0
4.3,691.0,3857.0,19.0,76.0,6.88,16.99,92.0,4.3,691.0,22682.0,1.0,0,1,0,0
4.6,2725.0,21072.0,18.42,66.0,4.52,21.99,88.0,4.6,100829.0,404488.0,28.0,0,1,0,0
4.6,161.0,815.0,20.83,66.0,3.27,19.99,90.0,4.7,164.0,833.0,2.0,0,0,0,0
4.7,1478.0,6478.0,17.92,70.0,6.1,16.99,80.0,4.5,8170.0,26495.0,6.0,0,0,0,1
4.7,1329.0,5173.0,20.5,22.0,1.95,16.99,58.0,4.7,15799.0,53468.0,9.0,1,0,0,0
4.1,1528.0,5894.0,18.67,187.0,43.28,16.99,88.0,4.1,1528.0,5893.0,1.0,0,1,0,0
4.5,1038.0,4451.0,20.67,47.0,5.75,25.99,88.0,4.5,6229.0,22774.0,7.0,1,0,0,0
4.1,296.0,2105.0,20.42,75.0,14.63,16.99,60.0,4.1,296.0,2105.0,1.0,0,1,0,0
4.2,503.0,7132.0,19.5,25.0,4.62,149.99,30.0,4.1,14747.0,381857.0,74.0,0,0,0,1
4.5,2274.0,7308.0,20.0,34.0,4.97,19.99,43.0,4.5,26337.0,93654.0,22.0,0,0,0,0
4.5,517.0,4168.0,20.42,88.0,7.8,21.99,88.0,4.5,517.0,4168.0,2.0,1,0,0,0
4.5,7459.0,36722.0,18.17,85.0,3.45,25.99,78.0,4.5,31511.0,125811.0,5.0,0,0,0,0
4.4,279.0,1497.0,20.42,124.0,16.18,21.99,92.0,4.5,311.0,1544.0,2.0,0,0,0,1
4.4,775.0,4757.0,20.33,192.0,11.43,34.99,90.0,4.5,3172.0,14888.0,5.0,0,1,0,0
4.3,131.0,536.0,16.83,29.0,1.82,16.99,72.0,4.3,131.0,536.0,1.0,0,0,0,0
4.5,181.0,1145.0,20.33,118.0,10.08,16.99,32.0,4.4,551.0,2736.0,4.0,0,1,0,0
4.6,1563.0,4809.0,20.58,350.0,29.25,19.99,92.0,4.5,13415.0,64047.0,16.0,0,0,0,1
3.9,233.0,1021.0,18.67,48.0,4.05,16.99,92.0,3.9,707.0,2714.0,2.0,0,0,0,1
3.8,186.0,1210.0,20.67,43.0,2.9,16.99,80.0,4.1,398.0,6527.0,13.0,0,0,0,0
4.4,514.0,2077.0,20.75,301.0,21.18,27.99,32.0,4.4,825.0,2807.0,5.0,0,1,0,0
4.5,600.0,2440.0,18.25,139.0,10.37,21.99,79.0,4.4,653.0,2797.0,2.0,0,1,0,0
4.4,2545.0,10629.0,20.42,49.0,4.9,16.99,88.0,4.4,2730.0,14421.0,2.0,0,0,0,1
4.7,1215.0,9065.0,19.5,78.0,12.65,16.99,88.0,4.5,61441.0,190125.0,15.0,0,0,0,0
4.7,17.0,162.0,20.5,50.0,10.13,17.99,91.0,4.4,209.0,730.0,3.0,1,0,0,0
4.2,2610.0,13213.0,20.67,92.0,13.93,16.99,91.0,4.2,21822.0,84160.0,15.0,0,0,0,1
4.3,1595.0,31944.0,20.25,38.0,3.53,16.99,92.0,4.3,4458.0,96234.0,8.0,0,0,0,0
4.5,1239.0,7578.0,20.67,30.0,4.83,17.99,92.0,4.5,2630.0,15932.0,8.0,1,0,0,0
4.4,360.0,1338.0,18.33,103.0,14.25,16.99,91.0,4.3,698.0,2114.0,4.0,0,0,0,0
4.6,2582.0,12753.0,19.25,50.0,6.67,17.99,90.0,4.6,8347.0,60636.0,5.0,0,0,1,0
4.1,515.0,1695.0,20.83,133.0,13.3,19.99,32.0,4.0,674.0,2599.0,4.0,1,0,0,0
4.0,197.0,757.0,20.75,237.0,21.65,16.99,43.0,4.0,465.0,1609.0,2.0,0,1,0,0
